error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c3f-ftldivp-m-081,81,Error,c3f,IF,FTDFLUCT,MIssingness,FTDFLUCT must be present,FTDFLUCT cannot be blank,Q11. FTDFLUCT (fluctuating level) cannot be blank,FTDFLUCT=blank,,,,,
c3f-ftldivp-c-082,82,Error,c3f,IF,FTDFLUCT,Conformity,FTDFLUCT conforms,FTDFLUCT must be between 0 and 3,Q11. FTDFLUCT (fluctuating level) must be between 0 and 3,"FTDFLUCT ne 0,1,2,3",,,,,
c3f-ftldivp-m-083,83,Error,c3f,IF,FTDLOSTT,MIssingness,FTDLOSTT must be present,FTDLOSTT cannot be blank,Q11a. FTDLOSTT (lost task set) cannot be blank,FTDLOSTT=blank,,,,,
c3f-ftldivp-c-084,84,Error,c3f,IF,FTDLOSTT,Conformity,FTDLOSTT conforms,FTDLOSTT must be between 0 and 3,Q11a. FTDLOSTT (lost task set) must be between 0 and 3,"FTDLOSTT ne 0,1,2,3",,,,,
c3f-ftldivp-m-085,85,Error,c3f,IF,FTDREPRU,MIssingness,FTDREPRU must be present,FTDREPRU cannot be blank,Q11b. FTDREPRU (repeated rules) cannot be blank,FTDREPRU=blank,,,,,
c3f-ftldivp-c-086,86,Error,c3f,IF,FTDREPRU,Conformity,FTDREPRU conforms,FTDREPRU must be between 0 and 3,Q11b. FTDREPRU (repeated rules) must be between 0 and 3,"FTDREPRU ne 0,1,2,3",,,,,
c3f-ftldivp-m-087,87,Error,c3f,IF,FTDTRAIN,MIssingness,FTDTRAIN must be present,FTDTRAIN cannot be blank,Q11c. FTDTRAIN (lost train of thought) cannot be blank,FTDTRAIN=blank,,,,,
c3f-ftldivp-c-088,88,Error,c3f,IF,FTDTRAIN,Conformity,FTDTRAIN conforms,FTDTRAIN must be between 0 and 3,Q11c. FTDTRAIN (lost train of thought) must be between 0 and 3,"FTDTRAIN ne 0,1,2,3",,,,,
c3f-ftldivp-m-089,89,Error,c3f,IF,FTDDISCL,MIssingness,FTDDISCL must be present,FTDDISCL cannot be blank,Q12. FTDDISCL (overly disclosing) cannot be blank,FTDDISCL=blank,,,,,
c3f-ftldivp-c-090,90,Error,c3f,IF,FTDDISCL,Conformity,FTDDISCL conforms,FTDDISCL must be between 0 and 3,Q12. FTDDISCL (overly disclosing) must be between 0 and 3,"FTDDISCL ne 0,1,2,3",,,,,
c3f-ftldivp-m-091,91,Error,c3f,IF,FTDSPONT,MIssingness,FTDSPONT must be present,FTDSPONT cannot be blank,Q12a. FTDSPONT (personal information - self) cannot be blank,FTDSPONT=blank,,,,,
c3f-ftldivp-c-092,92,Error,c3f,IF,FTDSPONT,Conformity,FTDSPONT conforms,FTDSPONT must be between 0 and 3,Q12a. FTDSPONT (personal information - self) must be between 0 and 3,"FTDSPONT ne 0,1,2,3",,,,,
c3f-ftldivp-m-093,93,Error,c3f,IF,FTDSPONR,MIssingness,FTDSPONR must be present,FTDSPONR cannot be blank,Q12b. FTDSPONR (personal information - other) cannot be blank,FTDSPONR=blank,,,,,
c3f-ftldivp-c-094,94,Error,c3f,IF,FTDSPONR,Conformity,FTDSPONR conforms,FTDSPONR must be between 0 and 3,Q12b. FTDSPONR (personal information - other) must be between 0 and 3,"FTDSPONR ne 0,1,2,3",,,,,
c3f-ftldivp-m-095,95,Error,c3f,IF,FTDSTOOD,MIssingness,FTDSTOOD must be present,FTDSTOOD cannot be blank,Q12c. FTDSTOOD (stood too close) cannot be blank,FTDSTOOD=blank,,,,,
c3f-ftldivp-c-096,96,Error,c3f,IF,FTDSTOOD,Conformity,FTDSTOOD conforms,FTDSTOOD must be between 0 and 3,Q12c. FTDSTOOD (stood too close) must be between 0 and 3,"FTDSTOOD ne 0,1,2,3",,,,,
c3f-ftldivp-m-097,97,Error,c3f,IF,FTDTOUCH,MIssingness,FTDTOUCH must be present,FTDTOUCH cannot be blank,Q12d. FTDTOUCH (touched examiner) cannot be blank,FTDTOUCH=blank,,,,,
c3f-ftldivp-c-098,98,Error,c3f,IF,FTDTOUCH,Conformity,FTDTOUCH conforms,FTDTOUCH must be between 0 and 3,Q12d. FTDTOUCH (touched examiner) must be between 0 and 3,"FTDTOUCH ne 0,1,2,3",,,,,
